name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
Hotel Avenida Palace,"R. 1º de Dezembro, 123 1200-359 Lisbon Portugal",q-Px_TUI_zLr93xn-1-Ypw,hotels,Hotels,4.6,23,€€€,38.714837,-9.141188
Brown's Central,"R. da Assunção, 75 1100-042 Lisbon Portugal",yvbBx06xhwEyvXITlGji5g,hotels,Hotels,4.6,16,€€,38.7115402,-9.1383696
Sheraton Lisboa Hotel & Spa,"Rua Latino Coelho, 1 1069-025 Lisbon Portugal",9wTTno6WG7cHlXDDZ00EQw,hotels,Hotels,4.2,53,€€€,38.7318001,-9.1470003
Evolution E.Hotel,"Praça Duque de Saldanha, 4 1050-094 Lisbon Portugal",fmoWlWBqkVeyFpTtcE09RQ,hotels,Hotels,4.6,13,€€,38.733519900691,-9.14409564100038
Ritz Four Seasons Hotel,"R. Rodrigo da Fonseca, 88 1099-039 Lisbon Portugal",DPkYK5RwCkAULtLJp7pOmA,hotels,Hotels,4.6,24,€€€€,38.7255172,-9.1552052
Palacete Chafariz D'El Rei,"Tv. Chafariz del Rei, 6 1100-140 Lisbon Portugal",UYTUME7WRO3Pz2ZiWaHCvQ,hotels,Hotels,4.6,7,€€,38.709807519607,-9.12956923309817
Hotel da Baixa,"R. da Prata, 231 1100-417 Lisbon Portugal",UNpztKHSE0A4iXnvDr2t1g,hotels,Hotels,4.4,14,€€,38.71216,-9.13752
Pestana CR7 Lisboa,"R. do Comércio, 54 1100-150 Lisbon Portugal",kRJ7hWBHNyItC1R3s36utQ,hotels,Hotels,4.5,6,€€€,38.70916,-9.13595
LX - Boutique Hotel,"Rua Do Alecrim, 12 1200-017 Lisbon Portugal",oWpzjQrPE02mTTqb3-QuRA,hotels,Hotels,4.5,13,€€,38.7070276,-9.143373
Pousada de Lisboa,"Praça do Comércio, 31-34 1100-148 Lisbon Portugal",kvFNVAOHH1MEP_2uJcO1Pg,guesthouses,Guest Houses,4.7,7,,38.7082347,-9.1378503
Bairro Alto Hotel,"Praça Luís de Camões,  2 1200-243 Lisbon Portugal",73rCWP_Cgj5c13bPm82IsQ,hotels,Hotels,4.1,17,€€,38.7103081,-9.1431503
Heritage Avenida Liberdade Hotel,"Av. da Liberdade, 28 1250-145 Lisbon Portugal",lIgc3taoaT4ZForepyUTqw,hotels,Hotels,4.6,8,€€€,38.7176112,-9.1427707
Lapa Palace Hotel,"Rua Pau de Bandeira, 4 1249-021 Lisbon Portugal",Dds8XUKMlB6bmW3wHfyxtQ,hotels,Hotels,4.8,12,€€€,38.7068291,-9.1638298
Pestana Palace Lisboa,"R. Jau, 54 1300-314 Lisbon Portugal",jBtK8qVZ-KlH37_NhIlaQw,hotels,Hotels,4.4,17,€€€€,38.703699,-9.18667
DoubleTree by Hilton Hotel Lisbon - Fontana Park,"R. Engenheiro Vieira da Silva, 2 1050-105 Lisbon Portugal",Yk6x3GErEUH9vXxdzmO5nQ,hotels,Hotels,3.4,32,€€,38.731272,-9.143995
InterContinental Lisbon,"R. Castelho, 149 1099-034 Lisbon Portugal",Ymx-nnEENCvo55ExfLpMiw,hotels,Hotels,4.1,17,€€€,38.726799,-9.155437
Lisbon Marriott Hotel,Avenida dos Combatentes 45 1600-042 Lisbon Portugal,1mkAYR_AlZeM_IkPmk-68A,hotels,Hotels,3.0,29,€€€,38.7469852543174,-9.16399476950244
Hotel Sofitel Lisbon Liberdade,Avenida Da Liberdade 127 1269-038 Lisbon Portugal,H9Q1sJ0t4AZpJRM1DvOs3w,hotels,Hotels,3.8,27,€€€,38.7188,-9.14489
Tivoli Avenida Liberdade Lisboa,"Av. da Liberdade, 185 1269-050 Lisbon Portugal",b6bSO7KZQde5JdPem99RUg,hotels,Hotels,4.0,28,€€€,38.721,-9.146965
Lisboa Carmo Hotel,"R. da Oliveira ao Carmo, 1-3 1200-307 Lisbon Portugal",nwBdT3UNgxwPc4-inOGkSw,hotels,Hotels,4.4,13,€€,38.712221,-9.141235
Memmo Alfama,Travessa das Merceeiras 27 1100-348 Lisbon Portugal,3SPxa90mdRwMLdIySZFMsw,hotels,Hotels,4.2,27,€€,38.7103348,-9.130806
Hotel Santa Justa,Rua dos Correeiros 204 1100-170 Lisbon Portugal,9C4j9wot_OZgHx-LSzIg8w,hotels,Hotels,4.7,18,€€,38.7124676,-9.1379317
Corinthia Lisbon,"Av. Columbano Bordalo Pinheiro, 105 1099-031 Lisbon Portugal",j7aSumyYuKkLP1ZjrUUhMA,hotels,Hotels,4.2,29,€€€,38.7386055,-9.1665029
Hotel Holliday Inn Lisbon - Continental,"Rua Laura Alves, 9 1069-169 Lisbon Portugal",kz1oo1jVegg-9vWz3xfpKQ,hotels,Hotels,3.5,8,€€,38.7413101,-9.1498299
Corpo Santo Lisbon Historical Hotel,"Largo do Corpo Santo, 25 1200-129 Lisbon Portugal",CW1gOMTDC5ZBnErrGx0yxw,hotels,Hotels,4.8,20,,38.707319,-9.142059
As Janelas Verdes,"R. das Janelas Verdes, 47 1200-690 Lisbon Portugal",-A0Yvm5x9xoTiExHJPseEA,hotels,Hotels,4.6,8,€€€,38.705457,-9.160237
Júpiter Lisboa Hotel,"Av. da República, 46 1050-195 Lisbon Portugal",VjsO6GrOQDoC1qrF4cjJ6w,hotels,Hotels,4.4,8,€€€,38.73948,-9.14586
Olissipo Oriente,"Av. D. João II, Lote 1.03.2.2 1990-083 Lisbon Portugal",_hWiNWd-EG5TTu3RvTxGWg,hotels,Hotels,4.3,4,,38.7649276867058,-9.09779600150262
Santiago de Alfama - Boutique Hotel,"R. de Santiago, 10-14 1100-494 Lisbon Portugal",ud5jr6GocT-v6_BOSqtCtg,hotels,Hotels,5.0,1,,38.711419,-9.131216
Tivoli Hotel,"Av. Dom Joao II, 27 Parque das Nações 1990-083 Lisbon Portugal",015YBPHeyIgjITEVjZShfA,hotels,Hotels,3.5,11,€€,38.766702,-9.0982
Rossio Hostel,"Calçada do Carmo nº 6, 2 dto 1200-091 Lisbon Portugal",NJD2cy2VwKQighP2E9uJSw,hotels,Hotels,5.0,4,€,38.7130805,-9.1409173
Hotel 1908,Av. Alm. Reis 6 1150-041 Lisbon Portugal,cVgaf5yAQgvVlz1L4EROMw,hotels,Hotels,3.7,7,,38.7207961265291,-9.13531264669046
Hotel Star inn Lisbon,"R. C, 125 1749-125 Lisbon Portugal",VDqVJhqbM-ot8rhvJY6N-g,hotels,Hotels,4.2,16,,38.7707945,-9.12548
Internacional Design Hotel,"R. da Betesga, 3 1100-090 Lisbon Portugal",KNBeo2aSxXtuMLJy9nkldg,hotels,Hotels,4.4,14,€€€€,38.71305,-9.13843
Casa do Barao,"Rua da Emenda, 84 1200-170 Lisbon Portugal",fqcQXRz10yK6u-NAS-p1lQ,bedbreakfast,Bed & Breakfast,5.0,2,,38.7098999,-9.1443396
Holiday Inn Express,"R. Guiné, 18 2685-334 Lisbon Portugal",fU7Bg--A-3ndcgslmVMA7A,hotels,Hotels,3.0,4,€€€,38.785994,-9.120448
Radisson Blu Lisboa,"Avenida Marechal Craveiro Lopes, 390 1749-009 Lisbon Portugal",3twhTZpt-FdKNUw3pOti6A,hotels,Hotels,2.6,14,€€,38.7595589,-9.1537167
HF Fénix Urban,"Av. António Augusto de Aguiar, 14 1050-016 Lisbon Portugal",jZB4itjaySaxsJredM-QUg,hotels,Hotels,4.5,4,€€€,38.728685,-9.148878
The Lumiares Hotel & Spa,"R. do Diário de Notícias, 142 1200-146 Lisbon Portugal",hLOIMUqiZpYmXq7Re_vhCg,hotels,Hotels,4.0,8,,38.713872,-9.144452
My Story Ouro,"Rua Áurea, 100 1100-063 Lisbon Portugal",LlxwyFGwEW9IpRaDIXWefw,hotels,Hotels,3.7,18,€€,38.7099419,-9.1381798
Holiday Inn,"Av. Antonio Jose De Almeida, 28 1000-044 Lisbon Portugal",gLS7NknLeHkeQWA28xmtyw,hotels,Hotels,2.3,8,€€,38.738228,-9.141406
Brown's Boutique Hotel,"R. da Vitória, 88 1100-619 Lisbon Portugal",MnYLrGHe8ajtDWkDFa3O6A,hotels,Hotels,4.3,4,,38.710927,-9.138282
SANA Metropolitan Hotel,"R. Soeiro Pereira Gomes, 2 1600-198 Lisbon Portugal",UMno67AjmqSKXX6xY5TmMA,hotels,Hotels,3.7,9,€€€,38.7454451129965,-9.15989809893509
Hotel H10,"Av. Duque de Loulé, 81 1050-088 Lisbon Portugal",VBEE8AojX0VPAjJ54Cn2ig,hotels,Hotels,3.6,8,€€,38.7265172783164,-9.14702408015728
Holiday Inn Express,"R. Alexandre Herculano, 40 1250-011 Lisbon Portugal",fQ5jbSMa2Mu2ozdDhKmx6Q,hotels,Hotels,4.0,5,€€,38.7224590187567,-9.15038488805294
BessaHotel Liberdade,"Av. da Liberdade, 29 1250-139 Lisbon Portugal",OBD52Csk5Lw5dgEYve2Ydw,hotels,Hotels,3.3,10,€€€,38.7169390017093,-9.14339166074797
Hotel Mundial,"Praça Martim Moniz, 2 1100-341 Lisbon Portugal",fAP3R5sOEZPbSmpm3p4XzQ,hotels,Hotels,3.4,26,€€,38.714926,-9.136812
AlmaLusa,"Praça do Munícipio, 20 1100-365 Lisbon Portugal",hA7Hy6TujgtRZNgx1kZhDQ,hotels,Hotels,4.1,9,,38.708272,-9.139711
Hotel Portugal,"Rua João das Regras, 4 1100-294 Lisbon Portugal",B7aWwEPmGZWdW3oed6bA6A,hotels,Hotels,4.2,13,€€,38.7144439,-9.1367034
HF Fénix Lisboa,"Praça Marquês de Pombal, 8 1269-133 Lisbon Portugal",KYqeFglUCBFl6haPhoSnug,hotels,Hotels,3.7,7,€€€,38.7249780699456,-9.15112548783566
Hotel Borges Chiado,"R. Garrett, 108 1200-205 Lisbon Portugal",HCZj5nOjNSmSKwHydBRwnw,hotels,Hotels,2.0,5,€€,38.710692,-9.141924
Hotel NH Lisboa Campo Grande,"Campo Grande, 7 1700-087 Lisbon Portugal",qLN6VZB2fUukrEqMfUdRfA,hotels,Hotels,3.5,4,€€,38.748724,-9.149642
Epic Sana Lisboa Hotel,"Av. Engenheiro Duarte Pacheco, 15 1070-100 Lisbon Portugal",ZWb3O242ppcifr7mkX0XXA,hotels,Hotels,4.4,17,€€€,38.72453,-9.15854
Solar do Castelo,"R. das Cozinhas, 2 1100-181 Lisbon Portugal",vGjfnemXAsRkzLWF8_YpLw,hotels,Hotels,5.0,2,€€€,38.713105,-9.133467
VIP Executive Art's Hotel,"Av. D. João II, 47 1998-028 Lisbon Portugal",gObbdCVsv0A5Fch_OdZhGg,hotels,Hotels,3.5,11,€€,38.773098,-9.097691
Hotel do Chiado,"R. Nova do Almada, 114 1200-290 Lisbon Portugal",DLZsjWaKWdfKnYfkfwpnWQ,hotels,Hotels,3.5,11,€€€,38.710703,-9.139492
Altis Belém Hotel & Spa,Doca do Bom Sucesso 1400-048 Lisbon Portugal,wfVzs2-GS_Ah-zQkAa8PZg,hotels,Hotels,4.0,10,€€€,38.6934314838451,-9.21078906761469
Hotel NH Collection Lisboa Liberdade,"Av. da Liberdade, 180 B 1250-146 Lisbon Portugal",RJ-gwHATiSQoXF0HJoPUMA,hotels,Hotels,4.0,8,€€€,38.720236,-9.144889
Hotel MELIÃ Aldeia dos Capuchos,L. Aldeia dos Capuchos 2825-008 Almada Portugal,vOVGNz4HYJ8S09X41eZaPQ,realestateagents,Real Estate Agents,3.0,2,,38.648201,-9.2242498
Ibis Parque Das Nacoes,"Av. Dom João Ii, 11701 1990-203 Lisbon Portugal",LH8zpDwkFasFnbMaJQOdOQ,hotels,Hotels,4.0,3,€€,38.7727661,-9.0977421
Valverde Hotel,"Av. da Liberdade, 164 1250-146 Lisbon Portugal",hd5mo2R3uo3lRAcIIzgMTA,hotels,Hotels,3.4,7,€€€,38.7196635725252,-9.14433238264552
Holiday Inn Express,"R. da Quinta do Paizinho, 11 2790-236 Carnaxide Portugal",tNkH0rj1ElRB6LIskSZQrA,hotels,Hotels,3.0,1,€€,38.7222866389809,-9.21753063797951
Hotel Açores,"Avenida Columbano Bordalo Pinheiro, 3 1070-060 Lisbon Portugal",e6NP1PBZxat0wrbXTfZUqg,hotels,Hotels,3.8,4,€€€,38.7376151,-9.1597088
Mercure Lisboa,"Av. Jose Malhoa, 23 1099-051 Lisbon Portugal",Ik1qNmBUEKRBNcvw-3mW2w,hotels,Hotels,2.3,3,€€€,38.7377014,-9.1658716
Olissippo Saldanha,"Av. Praia da Vitória, 30 1000-248 Lisbon Portugal",ylkhfFpBYECQ4doyTvR59Q,hotels,Hotels,3.3,3,,38.7340679,-9.14346
Marriot Hotels International B.V. Sucursal,Av. Combatentes 1600-000 Lisbon Portugal,EVNkWrxhekgbFFL4s1979w,hotels,Hotels,1.0,1,,38.7469101,-9.1629696
Novotel Lisboa,"Av. José Malhoa, 1 1099-051 Lisbon Portugal",tJ4NnMzgGdZgE2iR08dFVQ,hotels,Hotels,3.2,6,€€,38.736384300509,-9.16204854157193
Holiday Inn Express,"Av. João Crisóstomo, 40-42 1050-162 Lisbon Portugal",jfxwV5kgiaJH17cxY5Dtwg,hotels,Hotels,4.6,5,,38.7360409238028,-9.14851874113083
Hotel Lisboa,"R. Barata Salgueiro, 5 1169-066 Lisbon Portugal",F_IBrPSZvkkwAs_eCpkuvQ,hotels,Hotels,3.6,5,€€,38.7222404,-9.1463699
Hotel da Estrela,"Rua Saraiva de Carvalho, 35 1250-242 Lisbon Portugal",Tu6tNjeu37DxhTvIZVnFeQ,hotels,Hotels,4.3,10,€€,38.7174566,-9.1595007
Hotel Alicante,Av. Duque Loulé 20 1050-090 Lisbon Portugal,-gPD6iYgH-Qmn4uPryHGdQ,hotels,Hotels,4.0,1,,38.7288,-9.14455
Rooftop at The Art Inn,"R. 1º de Dezembro, 31 1200-357 Lisbon Portugal",Q7i_PTpItlxi_sJigKw4qA,hotels,Hotels,3.6,5,€€€€,38.713092,-9.140017
Brown's Downtown,"Rua dos Sapateiros, 73 1100-042 Lisbon Portugal",UtoJY2lnHIEOJOhyYrqKhw,hotels,Hotels,3.2,10,€€,38.7105392982766,-9.13809561379084
cheap hotels,Avenida Fontes Pereira de Melo  47 Lisbon Portugal,2RmBbuDvgn_QyjxyGj85Jg,bars,Bars,5.0,1,€,38.7327744,-9.1456819
Hotel Lux lisboa Park,R. Padre António Vieira 32 1070-015 Lisbon Portugal,t9zu3GgtBVQogIYyEamWSQ,hotels,Hotels,4.0,1,€€€,38.72775,-9.15835
The Vintage Hotel & Spa,"R. Rodrigo da Fonseca, 2 1250-191 Lisbon Portugal",pmA7DXMxOawDkvoyyiGF3w,hotels,Hotels,4.6,7,€€€,38.7200022,-9.1505303
Hotel Dom Carlos Liberty,"R. Alexandre Herculano, 13 1150-005 Lisbon Portugal",DHxMzz8RbW1u1E25SBCCCg,hotels,Hotels,3.5,4,,38.7236099,-9.1474705
Residencial Horizonte,"Av. António Augusto de Aguiar, 42 6º 1050-016 Lisbon Portugal",zw7Ui5fWYtpHEb3I6whdMA,hotels,Hotels,3.0,2,€€,38.7300682,-9.1500797
9Hotel Mercy,"R. da Misericórdia, 76 1200-273 Lisbon Portugal",JopTbqOH6jVuMv-Oj6NP9Q,hotels,Hotels,3.3,10,€€,38.7123666,-9.1429633
"Fontecruz Lisboa, Autograph Collection",Avenida da Liberdade 138-142 1250-001 Lisbon Portugal,1D4-pyl1i0MhDOXqv57RIg,hotels,Hotels,4.0,26,€€€,38.7192524228744,-9.14403543637491
Inspira Santa Marta Hotel,"R. de Santa Marta, 48 1150-297 Lisbon Portugal",bx70ixi2639OS7vhDmqkag,hotels,Hotels,4.1,11,€€€,38.72318,-9.14561
Lisbon Wine Hotel,"R. Portas de Santo Antão, 88 1150-265 Lisbon Portugal",abqCfRI4heBp-IbBtHvnoA,hotels,Hotels,4.9,9,,38.7162999,-9.14045
Memmo Príncipe Real Hotel,"R. Dom Pedro V, 56 1250-094 Lisbon Portugal",PH_8HKvVeGlZC6btE-6sWw,hotels,Hotels,4.4,7,,38.716227,-9.146092
Myriad by Sana Hotels,"Cais das Naus, Lote 2.21.01 1990-173 Lisbon Portugal",CXGhjpsDuK0FusDit3iKQw,hotels,Hotels,4.1,10,€€€€,38.7747988088132,-9.0912903904159
Hotel Botânico,"R. Mãe de Água, 16/20 1250-156 Lisbon Portugal",G6aDuRMpDJGWvFIUC6Tduw,hotels,Hotels,5.0,2,€,38.7173843,-9.1468983
Hotel Marquês de Pombal,"Av. da Liberdade, 243 1250-143 Lisbon Portugal",M-URexQjVHXeRxQ7csDBFA,hotels,Hotels,4.0,6,€€,38.7233664760433,-9.14893518098563
Turim,"Av. da Liberdade, 247 1269-170 Lisbon Portugal",wTIfr_azEl9pd6nRGckEBw,hotels,Hotels,3.3,7,€€€,38.7237587,-9.1493702
TRYP,"R. C, 2 1749-125 Lisbon Portugal",vFM8jBv6Jcc5A2tiIzrlVA,hotels,Hotels,3.0,8,€€,38.76188,-9.13282
Lagoas Hotel,"Lagoas Park, Ed. 2 2740-265 Oeiras Portugal",83tL5a4qCQBatAuaI0JjIg,bars,Bars,5.0,1,€€€€,38.7119217,-9.3140802
Hotel White Lisboa,"Av. da República, 9 1050-185 Lisbon Portugal",piXnAYay9BdSW7AsLq_oJg,hotels,Hotels,4.0,1,,38.734863,-9.145515
Hotel Zenit Lisboa,"Av. 5 de Outubro, 11 1050-047 Lisbon Portugal",Ug1FJQ8fbOcUyogttPte7g,hotels,Hotels,3.3,4,€€,38.7332802,-9.1470804
Le Consulat,"Plaça Luís de Camões, 22 1249-190 Lisbon Portugal",QIIGuree1Qf6Z68_WcmYnw,hotels,Hotels,4.2,6,,38.7105762476914,-9.14330472937809
Martinhal Lisbon Chiado Family Suites,"R. das Flores, 44 8135-998 Lisbon Portugal",r0mWN0CoLImlQLqIlop63w,hotels,Hotels,5.0,6,€€€,38.7088277203884,-9.14354231359562
Casa Dell'Arte,"Campo Santa Clara, 125 São Vicente 1100-473 Lisbon Portugal",gWNTfyGWNL-eIxYHQmR2rg,hotels,Hotels,5.0,3,,38.71558,-9.12609
Olissippo Marquês de Sá,"Av. Miguel Bombarda, 130 1050-167 Lisbon Portugal",G53t0ZgE0249Z2gBzx9GFQ,hotels,Hotels,2.5,4,,38.736372,-9.15159
ibis Lisboa José Malhoa,"Av. José Malhoa, 10 1070-158 Lisbon Portugal",vyBp7WBiXSOllCS_tff6FQ,hotels,Hotels,4.0,1,,38.737079,-9.162705
Hotel Altis,"Rua Castilho, 13 1269-072 Lisbon Portugal",If6go1YXAOH0Zann16KjRw,hotels,Hotels,3.8,18,€€€,38.7210312,-9.1502304
York House,"Rua das Janelas Verdes, 32 1200-691 Lisbon Portugal",S9KuIF-EioW9OgdoY9ZtHw,hotels,Hotels,4.2,5,€€€€,38.7061353,-9.1592535
Evidencia Belverde,"Av. de Belverde, 70 2845-483 Amora Portugal",MMzWj2f92xiFerwrC8StOA,hotels,Hotels,5.0,1,€€,38.5998688,-9.1395063
Turim Lisboa Hotel,"R. Filipe Folque, 20 1050-113 Lisbon Portugal",9SKEvXL3XwdjXA6gwxdjXA,hotels,Hotels,4.0,2,€€,38.7322397,-9.1493643
Hotel Alegria,"Praça de Alegria, 12 1250-004 Lisbon Portugal",XaLVe_KVlnPW52fcOOKUgg,hotels,Hotels,4.5,8,,38.7175187,-9.1449495
AVANI Avenida Liberdade Lisbon,"R. Júlio César Machado, 7-9 1250-135 Lisbon Portugal",JUoh6RTTV1gKKGZdfwfRsQ,hotels,Hotels,1.0,1,,38.720392,-9.147377
Hotel Lisboa Plaza,"Tv. do Salitre, 7 1269-066 Lisbon Portugal",w2NVajknvu8XXiGkD8gB1g,hotels,Hotels,4.1,7,€€,38.71886,-9.145466
Hotel Alif Avenidas,"Av. Duque de Ávila, 189 1050-082 Lisbon Portugal",A4Nvzuex1kZMytvjmiWVDg,hotels,Hotels,5.0,1,€€,38.73489,-9.1504602
SANA Malhoa Hotel,"Av. José Malhoa, 8 1099-089 Lisbon Portugal",iQ2V-XUFa6FjAGGEDEABBw,hotels,Hotels,3.5,4,€€€,38.7369717,-9.162401
Residencial Setubalense,"Rua Belém, 28 1300-084 Lisbon Portugal",zTXn6HH9lTcjyMB3d8Zp1g,hotels,Hotels,3.7,3,€,38.6973819,-9.2022959
The Pessoa,Largo do Carmo 1200-092 Lisbon Portugal,9He0PixiE3FKvASaGEwtRA,guesthouses,Guest Houses,1.0,1,,38.71173,-9.14099
Nazareth,"Av. António Augusto de Aguiar, 25 1050-012 Lisbon Portugal",V-D1iSWHMvZiBAamt5DasQ,hotels,Hotels,4.0,1,€€,38.7315903,-9.1518602
Real Palácio Hotel,"R. Tomás Ribeiro, 115 1050-228 Lisbon Portugal",2wk5LXoh_gwkGSKg_3YvlQ,hotels,Hotels,2.5,15,€€€,38.732208,-9.150777
Casual Belle Époque Lisboa,"R. da Madalena, 125 1100-319 Lisbon Portugal",kPWKh6dUSQKm-zZFl5PLUQ,hotels,Hotels,3.0,2,,38.711001,-9.1356701
