Reviewer Name,Review Rating,Review Text,Time Created,Business ID
Tiffany H.,5,"This is a luxury high class hotel located in the center of town. Near Rossio train station. Walking distance from center of town and shopping.
Elegant old...",2023-12-16 10:34:05,q-Px_TUI_zLr93xn-1-Ypw
Andrew F.,4,"Charming, old-school, centrally located Lisbon hotel.  This hotel is right next to the Rossio train station, which you will find extraordinarily convenient...",2023-10-26 06:26:43,q-Px_TUI_zLr93xn-1-Ypw
Sheila R.,4,"My husband and I stayed here recently for the second time in 5 years, and enjoyed it very much. Hotel Avenida Palace is elegant, yet comfortable. I love the...",2022-08-14 12:15:56,q-Px_TUI_zLr93xn-1-Ypw
Alli C.,5,"Wow! This hotel is just breathtaking, and service was top-notch. By far one of, if not the nicest, hotel we've stayed in. The Rooftop pool was FABULOUS.

My...",2023-07-18 16:49:06,yvbBx06xhwEyvXITlGji5g
Clive H.,5,"What a fantastic location, right in the heart of the old town. Minutes from all of the attractions.
Staff are fantastic and there is a very cool bar with a...",2022-07-05 09:10:56,yvbBx06xhwEyvXITlGji5g
Karen E.,1,"After making a reservation directly with the hotel on my laptop, our desktop computer picked up a Malware warning when clicking on the link from the...",2023-05-04 08:23:28,yvbBx06xhwEyvXITlGji5g
Cyn C.,4,"After a week of traveling through Europe, this was our last stop, and I enjoyed staying at this hotel. The staff was friendly and responsive. We had issues...",2023-08-26 20:59:09,fmoWlWBqkVeyFpTtcE09RQ
Krys P.,5,"When I read that this hotel has a free sauna with windows overlooking the city, I immediately hit the button to make reservation!!  Yes, the sauna and...",2019-05-22 14:18:28,fmoWlWBqkVeyFpTtcE09RQ
Michael U.,4,"Selected for its proximity to a Metro station and 24/7 fitness facilities, Evolution Hotel is an excellent deal.  Not far from Versailles Bakery, with a...",2021-10-31 09:31:10,fmoWlWBqkVeyFpTtcE09RQ
Christina N.,3,Hotel is old. Front desk staff was passive aggressive. Room was super dusty that it triggers my allergies. AC in the room was barely working and it felt...,2023-11-25 21:51:35,9wTTno6WG7cHlXDDZ00EQw
Bonnie I.,5,"Hotel | Sheraton | Marriott Bonvoy | Le Petit Chef

Lovely hotel, great location, great service.
Spa services available. 

Pool, hot (warm) tub, steam room...",2023-10-08 10:06:13,9wTTno6WG7cHlXDDZ00EQw
