Business ID,Reviewer Name,Review Rating,Review Text,Time Created
q-Px_TUI_zLr93xn-1-Ypw,Tiffany H.,5,"This is a luxury high class hotel located in the center of town. Near Rossio train station. Walking distance from center of town and shopping.
Elegant old...",2023-12-16 10:34:05
q-Px_TUI_zLr93xn-1-Ypw,Andrew F.,4,"Charming, old-school, centrally located Lisbon hotel.  This hotel is right next to the Rossio train station, which you will find extraordinarily convenient...",2023-10-26 06:26:43
q-Px_TUI_zLr93xn-1-Ypw,Sheila R.,4,"My husband and I stayed here recently for the second time in 5 years, and enjoyed it very much. Hotel Avenida Palace is elegant, yet comfortable. I love the...",2022-08-14 12:15:56
yvbBx06xhwEyvXITlGji5g,Alli C.,5,"Wow! This hotel is just breathtaking, and service was top-notch. By far one of, if not the nicest, hotel we've stayed in. The Rooftop pool was FABULOUS.

My...",2023-07-18 16:49:06
yvbBx06xhwEyvXITlGji5g,Clive H.,5,"What a fantastic location, right in the heart of the old town. Minutes from all of the attractions.
Staff are fantastic and there is a very cool bar with a...",2022-07-05 09:10:56
yvbBx06xhwEyvXITlGji5g,Karen E.,1,"After making a reservation directly with the hotel on my laptop, our desktop computer picked up a Malware warning when clicking on the link from the...",2023-05-04 08:23:28
9wTTno6WG7cHlXDDZ00EQw,Christina N.,3,Hotel is old. Front desk staff was passive aggressive. Room was super dusty that it triggers my allergies. AC in the room was barely working and it felt...,2023-11-25 21:51:35
9wTTno6WG7cHlXDDZ00EQw,Bonnie I.,5,"Hotel | Sheraton | Marriott Bonvoy | Le Petit Chef

Lovely hotel, great location, great service.
Spa services available. 

Pool, hot (warm) tub, steam room...",2023-10-08 10:06:13
9wTTno6WG7cHlXDDZ00EQw,Asma M.,4,We stayed here for 3 nights at the end of our two week trip in Portugal. Its has a very clean and modern aesthetic. They don't have a Marriott / Bonvoy...,2023-12-31 20:15:17
fmoWlWBqkVeyFpTtcE09RQ,Cyn C.,4,"After a week of traveling through Europe, this was our last stop, and I enjoyed staying at this hotel. The staff was friendly and responsive. We had issues...",2023-08-26 20:59:09
fmoWlWBqkVeyFpTtcE09RQ,Krys P.,5,"When I read that this hotel has a free sauna with windows overlooking the city, I immediately hit the button to make reservation!!  Yes, the sauna and...",2019-05-22 14:18:28
fmoWlWBqkVeyFpTtcE09RQ,Michael U.,4,"Selected for its proximity to a Metro station and 24/7 fitness facilities, Evolution Hotel is an excellent deal.  Not far from Versailles Bakery, with a...",2021-10-31 09:31:10
DPkYK5RwCkAULtLJp7pOmA,Ade S.,5,"Step into a world of refined luxury at the Four Seasons Hotel Lisbon, a.k.a The Ritz. This illustrious establishment, housed within a stunning 18th-century...",2024-02-03 09:55:05
DPkYK5RwCkAULtLJp7pOmA,Frank A.,5,Simply the best hotel in Lisbon. The Four Seasons Ritz is the hotel for both business and discerning leisure travelers to Lisbon for decades. While there...,2023-07-02 02:17:19
DPkYK5RwCkAULtLJp7pOmA,Philip M.,5,"Chris and I stayed at this hotel for one week on vacation in Lisbon.

The public areas are stunning and have beautiful artwork.

The dining is incredible....",2020-01-10 11:22:13
oWpzjQrPE02mTTqb3-QuRA,John W.,5,"First time going to Lisbon and after a ton of poking around, I ended up going with Lx Boutique Hotel, which ended up being a solid stay due to the location,...",2022-09-25 09:23:52
oWpzjQrPE02mTTqb3-QuRA,Jim M.,5,"Great location for touring in Lisbon's main seaside area. Close to trolley 28 and a special treat - Pink Street!!!

Efficient staff, nice, quiet modern...",2023-09-26 15:35:13
oWpzjQrPE02mTTqb3-QuRA,Sam B.,4,"We stayed 2 nights in August, 2022. We usually stay up the hill in Bairro Alto but decided to give this charming hotel a try. The location is perfect -...",2022-09-02 10:43:24
UYTUME7WRO3Pz2ZiWaHCvQ,Liana T.,5,Every detail is unique and lovely. Staff is attentive and friendly.  This property is truly amazing - Cannot wait to return!!!,2023-09-08 11:33:49
UYTUME7WRO3Pz2ZiWaHCvQ,Wilson L.,5,We had an amazing stay at the Palacete Chafariz d'El Rei. We don't usually do boutique type hotels but we are so glad we did. This was so charming and the...,2021-12-16 17:01:57
