id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
q-Px_TUI_zLr93xn-1-Ypw,hotel-avenida-palace-lisboa,Hotel Avenida Palace,https://s3-media4.fl.yelpcdn.com/bphoto/ftQ2EyEZGNISRIWh8k-MRQ/o.jpg,False,https://www.yelp.com/biz/hotel-avenida-palace-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,23,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.6,"{'latitude': 38.714837, 'longitude': -9.141188}",[],€€€,"{'address1': 'R. 1º de Dezembro, 123', 'address2': None, 'address3': None, 'city': 'Lisbon', 'zip_code': '1200-359', 'country': 'PT', 'state': '11', 'display_address': ['R. 1º de Dezembro, 123', '1200-359 Lisbon', 'Portugal']}",+351213218100,+351 21 321 8100,2538.4756317799515
yvbBx06xhwEyvXITlGji5g,browns-central-lisboa,Brown's Central,https://s3-media2.fl.yelpcdn.com/bphoto/DUWgC1BHlxZEHg47qZvG0w/o.jpg,False,https://www.yelp.com/biz/browns-central-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,16,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.6,"{'latitude': 38.7115402, 'longitude': -9.1383696}",[],€€,"{'address1': 'R. da Assunção, 75', 'address2': None, 'address3': None, 'city': 'Lisbon', 'zip_code': '1100-042', 'country': 'PT', 'state': '11', 'display_address': ['R. da Assunção, 75', '1100-042 Lisbon', 'Portugal']}",+351213420328,+351 21 342 0328,2967.720076285601
9wTTno6WG7cHlXDDZ00EQw,sheraton-lisboa-hotel-e-spa-lisboa,Sheraton Lisboa Hotel & Spa,https://s3-media3.fl.yelpcdn.com/bphoto/gNnQAW3s8w2qimvRgLUeGQ/o.jpg,False,https://www.yelp.com/biz/sheraton-lisboa-hotel-e-spa-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,53,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.2,"{'latitude': 38.7318001, 'longitude': -9.1470003}",[],€€€,"{'address1': 'Rua Latino Coelho, 1', 'address2': None, 'address3': None, 'city': 'Lisbon', 'zip_code': '1069-025', 'country': 'PT', 'state': '11', 'display_address': ['Rua Latino Coelho, 1', '1069-025 Lisbon', 'Portugal']}",+351213120000,+351 21 312 0000,625.2662655387503
fmoWlWBqkVeyFpTtcE09RQ,evolution-e-hotel-lisboa,Evolution E.Hotel,https://s3-media2.fl.yelpcdn.com/bphoto/Q9eNF9mJXorcYqZqHRZ_FQ/o.jpg,False,https://www.yelp.com/biz/evolution-e-hotel-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,13,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.6,"{'latitude': 38.733519900691, 'longitude': -9.14409564100038}",[],€€,"{'address1': 'Praça Duque de Saldanha, 4', 'address2': '', 'address3': '', 'city': 'Lisbon', 'zip_code': '1050-094', 'country': 'PT', 'state': '11', 'display_address': ['Praça Duque de Saldanha, 4', '1050-094 Lisbon', 'Portugal']}",+351211590200,+351 21 159 0200,671.5369666133073
DPkYK5RwCkAULtLJp7pOmA,ritz-four-seasons-hotel-lisboa,Ritz Four Seasons Hotel,https://s3-media1.fl.yelpcdn.com/bphoto/P7fMYO1GBg1Fi-HnbP6lXQ/o.jpg,False,https://www.yelp.com/biz/ritz-four-seasons-hotel-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,24,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.6,"{'latitude': 38.7255172, 'longitude': -9.1552052}",[],€€€€,"{'address1': 'R. Rodrigo da Fonseca, 88', 'address2': '', 'address3': '', 'city': 'Lisbon', 'zip_code': '1099-039', 'country': 'PT', 'state': '11', 'display_address': ['R. Rodrigo da Fonseca, 88', '1099-039 Lisbon', 'Portugal']}",+351213811400,+351 21 381 1400,1262.1026973038267
oWpzjQrPE02mTTqb3-QuRA,lx-boutique-hotel-lisboa,LX - Boutique Hotel,https://s3-media2.fl.yelpcdn.com/bphoto/BIt50EEYhOMXLIyC_z3XbA/o.jpg,False,https://www.yelp.com/biz/lx-boutique-hotel-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,13,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.5,"{'latitude': 38.7070276, 'longitude': -9.143373}",[],€€,"{'address1': 'Rua Do Alecrim, 12', 'address2': '', 'address3': '', 'city': 'Lisbon', 'zip_code': '1200-017', 'country': 'PT', 'state': '11', 'display_address': ['Rua Do Alecrim, 12', '1200-017 Lisbon', 'Portugal']}",+351213474394,+351 21 347 4394,3327.3309707739136
UYTUME7WRO3Pz2ZiWaHCvQ,palacete-chafariz-d-el-rei-lisboa-3,Palacete Chafariz D'El Rei,https://s3-media1.fl.yelpcdn.com/bphoto/hc8Kv5RqO_21xxCL6lyXpg/o.jpg,False,https://www.yelp.com/biz/palacete-chafariz-d-el-rei-lisboa-3?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,7,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",4.6,"{'latitude': 38.709807519607, 'longitude': -9.12956923309817}",[],€€,"{'address1': 'Tv. Chafariz del Rei, 6', 'address2': '', 'address3': None, 'city': 'Lisbon', 'zip_code': '1100-140', 'country': 'PT', 'state': '11', 'display_address': ['Tv. Chafariz del Rei, 6', '1100-140 Lisbon', 'Portugal']}",+351218886150,+351 21 888 6150,3486.104009188714
kRJ7hWBHNyItC1R3s36utQ,pestana-cr7-lisboa-lisboa-2,Pestana CR7 Lisboa,https://s3-media4.fl.yelpcdn.com/bphoto/hQIHtLU_EA9WpdOQPk_mPg/o.jpg,False,https://www.yelp.com/biz/pestana-cr7-lisboa-lisboa-2?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,6,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.5,"{'latitude': 38.70916, 'longitude': -9.13595}",[],€€€,"{'address1': 'R. do Comércio, 54', 'address2': '', 'address3': None, 'city': 'Lisbon', 'zip_code': '1100-150', 'country': 'PT', 'state': '11', 'display_address': ['R. do Comércio, 54', '1100-150 Lisbon', 'Portugal']}",+351210401710,+351 21 040 1710,3290.642792649432
UNpztKHSE0A4iXnvDr2t1g,hotel-da-baixa-lisboa,Hotel da Baixa,https://s3-media4.fl.yelpcdn.com/bphoto/gehIsT_Cc76xO8mEF7wl_w/o.jpg,False,https://www.yelp.com/biz/hotel-da-baixa-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,14,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.4,"{'latitude': 38.71216, 'longitude': -9.13752}",[],€€,"{'address1': 'R. da Prata, 231', 'address2': '', 'address3': None, 'city': 'Lisbon', 'zip_code': '1100-417', 'country': 'PT', 'state': '11', 'display_address': ['R. da Prata, 231', '1100-417 Lisbon', 'Portugal']}",+351210127450,+351 21 012 7450,2936.02031657364
73rCWP_Cgj5c13bPm82IsQ,bairro-alto-hotel-lisboa,Bairro Alto Hotel,https://s3-media3.fl.yelpcdn.com/bphoto/ume8aQnwazwwWGQHZS-XfA/o.jpg,False,https://www.yelp.com/biz/bairro-alto-hotel-lisboa?adjust_creative=eyY_X0k6PMB2bu6EM1dXdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eyY_X0k6PMB2bu6EM1dXdw,17,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.1,"{'latitude': 38.7103081, 'longitude': -9.1431503}",[],€€,"{'address1': 'Praça Luís de Camões,  2', 'address2': None, 'address3': None, 'city': 'Lisbon', 'zip_code': '1200-243', 'country': 'PT', 'state': '11', 'display_address': ['Praça Luís de Camões,  2', '1200-243 Lisbon', 'Portugal']}",+351213408288,+351 21 340 8288,2970.3066696936103
